siren,etatAdministratifUniteLegale,nomUniteLegale,nomUsageUniteLegale,denominationUniteLegale,denominationUsuelle1UniteLegale,denominationUsuelle2UniteLegale,denominationUsuelle3UniteLegale,dateDernierTraitementUniteLegale,caractereEmployeurUniteLegale,identifiantAssociationUniteLegale
010234854,A,,,DE COPROPRIETE,,,,2019-06-24T13:04:24,O,
010235828,A,,,SYND DE COPROPRIETE,RESEDENCE ROND POINT CORNIC,,,2013-05-18T02:02:30,O,
010235851,A,,,SYND DE COPROPRIETE,RESIDENCE DE LA MAIRIE,,,2013-05-18T02:02:30,O,
010235885,A,,,DE COPROPRIETE,,,,2013-05-18T02:02:30,O,
010237923,A,,,DE COPROPRIETE,,,,2018-09-29T12:00:21,O,
010239754,A,,,DE COPROPRIETE SGI,,,,2019-06-24T13:04:24,O,
010239770,A,,,DE COPROPRIETE SGI,,,,2019-06-24T13:04:24,O,
010239788,A,,,DE COPROPRIETE SGI,,,,2019-06-24T13:04:24,O,
010239820,A,,,DE COPROPRIETE SGI,,,,2019-06-24T13:04:24,O,
010239960,A,,,DE COPROPRIETE SGI,,,,2011-11-29T00:10:57,O,
010240000,A,,,SYND DE COPROPRIETE,,,,2011-11-29T00:10:57,O,
010240018,A,,,SYND DE COPROPRIETE,,,,2011-11-29T00:10:57,O,
010240083,A,,,DE COPROPRIETE SGI,,,,2011-11-29T00:10:57,O,
010240109,A,,,DE COPROPRIETE SGI,,,,2019-06-24T13:04:24,O,
010240208,A,,,DE COPROPRIETE SGI,,,,2011-11-29T00:10:58,O,
010240216,A,,,DE COPROPRIETE SGI,,,,2011-11-29T00:10:58,O,
010240372,A,,,DE COPROPRIETE SGI,,,,2019-06-24T13:04:24,O,
010240455,A,,,DE COPROPRIETE SGI,,,,2019-06-24T13:04:24,O,
010240463,A,,,DE COPROPRIETE SGI,,,,2011-11-29T00:10:58,O,
010240513,A,,,DE COPROPRIETE SGI,,,,2011-11-29T00:10:58,O,
010240752,A,,,DE COPROPRIETE SGI,,,,2011-11-29T00:10:58,O,
010240786,A,,,SYNDIC COPRO,,,,2011-11-29T00:10:58,O,
010240836,A,,,SYND DE COPROPRIETE GI,,,,2019-06-24T13:04:24,O,
010240927,A,,,SYND COPROPRIETE 110 A RUE ROBESPIERRE,,,,2019-06-24T13:04:24,O,
010240968,A,,,DE COPROPRIETE SGI,,,,2019-06-24T13:04:24,O,
010241115,A,,,DE COPROPRIETE SGI,,,,2011-11-29T00:10:58,O,
010241156,A,,,DE COPROPRIETE SGI,,,,2011-11-29T00:10:58,O,
010241164,A,,,DE COPROPRIETE SGI,,,,2011-11-29T00:10:58,O,
010241305,A,,,DE COPROPRIETE SGI,,,,2011-11-29T00:10:58,O,
010241321,A,,,DE COPROPRIETE SGI,,,,2011-11-29T00:10:58,O,
010241347,A,,,SYND DE COPROPRIETE SGI,,,,2019-06-24T13:04:24,O,
010241404,A,,,DE COPROPRIETE SGI,,,,2019-06-24T13:04:24,O,
010241503,A,,,DE COPROPRIETE SGI,,,,2019-06-24T13:04:24,O,
010241511,A,,,DE COPROPRIETE  GALAXIE B,,,,2019-06-24T13:04:24,O,
010241537,A,,,DE COPROPRIETE SGI,,,,2019-06-24T13:04:24,O,
010241545,A,,,DE COPROPRIETE SGI,,,,2019-06-24T13:04:24,O,
010241552,A,,,DE COPROPRIETE SGI,,,,2019-06-24T13:04:24,O,
010241735,A,,,SYND DE COPROPRIETE SGI,,,,2019-06-24T13:04:24,O,
010241768,A,,,SYND DE COPROPRIETE SGI,,,,2019-06-24T13:04:24,O,
010241974,A,,,DE COPROPRIETE SGI,,,,2011-11-29T00:10:59,O,
010241982,A,,,DE COPROPRIETE SGI,,,,2011-11-29T00:10:59,O,
010242147,A,,,SYNDICAT DES COPROPRIETAIRES,,,,2018-09-29T12:00:21,O,
010242154,A,,,DE COPROPRIETE SGI,,,,2011-11-29T00:10:59,O,
010242469,A,,,SYND COPRO RESIDENCE LA THEBAIDE,,,,2019-06-24T13:04:24,O,
010242741,A,,,DE COPROPRIETE SGI,,,,2011-11-29T00:10:59,O,
010242782,A,,,DE COPROPRIETE SGI,,,,2011-11-29T00:10:59,O,
010243202,A,,,SYND DE COPROPRIETE,RESEIDENCE VIAN,,,2014-06-13T23:02:32,O,
010243426,A,,,COPRO BAI RES LES PINS BOUSSOLE 7,,,,2018-09-29T12:00:21,O,
010243541,A,,,SYND DE COPROPRIETE,,,,2013-05-18T02:02:30,O,
010245413,A,,,DE COPROPRIETE,,,,2016-04-26T01:03:46,O,
010248763,A,,,SYND DE COPROPRIETE,,,,2011-11-29T00:10:59,O,
010249183,A,,,DE COPROPRIETE SGI,,,,2019-06-24T13:04:24,O,
010249266,A,,,DE COPROPRIETE,,,,2019-10-29T18:00:20,O,
010353399,A,,,SYND DE COPROPRIETE SGI,,,,2011-11-29T00:10:59,O,
010353480,A,,,DE COPROPRIETE,,,,2019-06-24T13:04:24,O,
010353522,A,,,DE COPROPRIETE,,,,2018-09-29T12:00:21,O,
010353647,A,,,DE COPROPRIETE,,,,2019-10-29T18:00:20,O,
010434637,A,,,COPR IMM R PROMENADES,,,,2013-05-18T02:02:30,O,
010435436,A,,,SYND DE COPROPRIETE,RESIDENCE DE LA TOUR D'AUVERGNE,,,2019-06-24T13:04:24,O,
010436772,A,,,COPR RES PL DU MARTRAY,,,,2018-09-29T12:00:21,O,
010436871,A,,,COPR RES DU CENTRE,,,,2019-06-24T13:04:24,O,
010436921,A,,,COPR RES TOUR D ARMOR,,,,2019-06-24T13:04:24,O,
010437036,A,,,COPR RES LE RIAL,,,,2019-06-24T13:04:24,O,
010437044,A,,,COPR IMM LANRVEN,,,,2019-06-24T13:04:24,O,
010437069,A,,,COPR RESIDENCE KREIZ AR LAN,,,,2019-06-24T13:04:24,O,
010437127,A,,,COPR RES PARK NEVEZ,,,,2019-06-24T13:04:24,O,
010437226,A,,,COPR RES ST YVES,,,,2012-05-05T00:05:47,O,
010437291,A,,,SYNDIC RESIDENCE DU BIEF,,,,2011-11-29T00:11:00,O,
010437341,A,,,COPR IMM ST YVES,,,,2011-11-29T00:11:00,O,
010437622,A,,,COPR RES KERVENNO,,,,2019-06-24T13:04:24,O,
010437697,A,,,COPR RES PETIT REGINA,,,,2018-09-29T12:00:21,O,
010437929,A,,,COP RES LE GRAND LARGE,,,,2019-06-24T13:04:24,O,
010438059,A,,,COPR IMM LE MAMMOUTH,,,,2019-06-24T13:04:24,O,
010438075,A,,,COPR RES LE PANORAMA,,,,2011-11-29T00:11:00,O,
010438240,A,,,COPR RES AR GWEL PERROS,,,,2011-11-29T00:11:00,O,
010438281,A,,,COPR RES LA ROSERAIE,,,,2019-06-24T13:04:24,O,
010438380,A,,,COPR RES JEANNE D ARC,,,,2019-06-24T13:04:24,O,
010438471,A,,,SYND COPRO 1 JARDIN PAIMPOL,,,,2019-06-24T13:04:24,O,
010438539,A,,,COPR RES BELLEVUE,,,,2019-06-24T13:04:24,O,
010438547,A,,,COPR RES LE PORTRIEUX,,,,2011-11-29T00:11:00,O,
010438687,A,,,COPR SCIGG IM B,,,,2019-06-24T13:04:24,O,
010438745,A,,,COPR RES ST JEAN,,,,2017-05-04T01:02:40,O,
010438786,A,,,COPR RES MARINES TRESMEUR,,,,2019-06-24T13:04:24,O,
010438828,A,,,COPR RES DE LA PLAGE PERROS,,,,2019-06-24T13:04:24,O,
010438869,A,,,COPR RES GOLF,,,,2011-11-29T00:11:00,O,
010438935,A,,,COPR IMM MARINES,,,,2011-11-29T00:11:01,O,
010441764,A,,,SYND DE COPROPRIETE,RESIDENCE HAUTE RIVE,,,2019-06-24T13:04:24,O,
010441962,A,,,COPR RES NOTRE DAME,,,,2019-06-24T13:04:24,O,
010442010,A,,,COPR RES LA PLAGE,,,,2011-11-29T00:11:01,O,
010442051,A,,,COPR RES LA PLAGE TRESTEL,,,,2019-06-24T13:04:24,O,
010726313,A,,,COP GRAND LARGE,,,,2011-11-29T00:11:01,O,
010726438,A,,,COPROPRIETE DU COSTYR,,,,2011-11-29T00:11:01,O,
010727915,A,,,COP LE LION D OR,,,,2018-09-29T12:00:21,O,
010926525,A,,,SYND DE COPROPRIETE,RESIDENCE ROBESPIERRE,,,2018-09-29T12:00:21,O,
010926723,A,,,SYND COP CABINET CAGIL,,,,2019-06-24T13:04:24,O,
011139532,A,,,COPRO RES RUE DE L'OCEAN,,,,2019-06-24T13:04:24,O,
011142049,A,,,COPROP RESIDENCE DU PARC,RESIDENCE DU PARC,,,2019-06-24T13:04:24,O,
011143427,A,,,CIVILE IMM MEN ER BELEG,,,,2019-06-24T13:04:24,O,
011144540,A,,,SYND DE COPROPRIETE,RESIDENCE PLEIN CIEL,,,2019-06-24T13:04:24,O,
011327137,A,,,SYND COPROPRIETE RESIDENCE DE LAXOU,,,,2011-11-29T00:11:02,O,
011328234,A,,,SYND COPROPRIETE 67-69 ANATOLE FRANCE,,,,2019-06-24T13:04:24,O,
011336963,A,,,SYND COPROPRIETE DU 9 BIS RUE PASTEUR,,,,2012-05-05T00:05:48,O,
011337094,A,,,SYND COPROPRIETE RESIDENCE SAINT GERARD,,,,2018-09-29T12:00:21,O,
011338522,A,,,COPROP L AIGUILLETTE,,,,2019-06-24T13:04:24,O,
011338548,A,,,COPROPRIETE JEAN JAURES,,,,2019-06-24T13:04:24,O,
011338613,A,,,HERMITE STE LAMIRAND SCI,,,,2019-06-24T13:04:24,O,
011338621,A,,,IMMEUBLE COPROPRIETE,,,,2010-03-19T17:38:37,O,
011338662,A,,,LA NANCEIDE,,,,2019-06-24T13:04:24,O,
011338753,A,,,SCI RESIDENCE SAINT NICOLAS,,,,2019-06-24T13:04:24,O,
011338779,A,,,RES LE CONTEMPORAIN,,,,2019-06-24T13:04:24,O,
011338795,A,,,SCI RESIDENCE LE CEZANNE,,,,2019-06-24T13:04:24,O,
011338845,A,,,SCI RESIDENCE COMMANDERIE,,,,2019-06-24T13:04:24,O,
011338852,A,,,RES HARDEVAL,,,,2019-06-24T13:04:24,O,
011338886,A,,,RESIDENCE ALBERT 1 ER BRIEY,,,,2019-02-08T08:37:09,O,
011338902,A,,,RES 49 BD FOCH,,,,2019-06-24T13:04:24,O,
011338936,A,,,SCI LA ROSERAIE,,,,2019-06-24T13:04:24,O,
011338993,A,,,CIV G DE LATOUR,,,,2019-06-24T13:04:24,O,
011339033,A,,,DU 26 RUE A BRIAND,,,,2015-05-14T03:02:18,O,
011339074,A,,,LES CHARMETTES SAINT MAX,,,,2019-06-24T13:04:24,O,
011339090,A,,,GODFROY DE BOUILLON,,,,2019-06-24T13:04:24,O,
011339108,A,,,SCI SAINT SEBASTIEN,,,,2019-06-24T13:04:24,O,
011339124,A,,,HAUT RIVAGE,,,,2019-06-24T13:04:24,O,
011339132,A,,,35 T RUE SAINT NICOLAS,,,,2015-05-14T03:02:18,O,
011339249,A,,,SOCIETE CIVILE IMMOB ZOLA CURIE,,,,2019-06-24T13:04:24,O,
011339264,A,,,STE CIV IMMOB ALBERT 1ER,,,,2019-06-24T13:04:24,O,
011339314,A,,,STE CIV IMMOB A LECLERC,,,,2013-05-18T02:02:30,O,
011339330,A,,,SCI CLOS DE MEDREVILLE,,,,2019-06-24T13:04:24,O,
011339371,A,,,STE CIV IMMOB BEL AIR VANDO,,,,2019-06-24T13:04:24,O,
011339389,A,,,DIX HUIT R COMMANDERIE,,,,2019-06-24T13:04:24,O,
011339413,A,,,SCI RESIDENCE LORRAINE,,,,2019-06-24T13:04:24,O,
011339470,A,,,AV GAL LECLERC,,,,2019-08-22T15:32:18,O,
011339561,A,,,S.C.I. CURE D AIR,,,,2019-06-24T13:04:24,O,
011339579,A,,,IMM JOFFRE ST THIEBAUT,,,,2019-06-24T13:04:24,O,
011339595,A,,,OCTROI SAINT NICOLAS,,,,2019-06-24T13:04:24,O,
011339603,A,,,DES CHENEVIERES,,,,2019-06-24T13:04:24,O,
011339645,A,,,RES VILLAROISE,,,,2019-06-24T13:04:24,O,
011339736,A,,,SYNDIC COPROP RES. LUNEVILLE LORRAINE,,,,2019-06-24T13:04:24,O,
011339769,A,,,A BRIAND,,,,2019-06-24T13:04:24,O,
011339819,A,,,LA RESIDENCE,,,,2019-06-24T13:04:24,O,
011339827,A,,,ORATOIRE,,,,2019-06-24T13:04:24,O,
011339843,A,,,SYNDICAT DES COPRORIETAIRES ST CHARLES,,,,2019-06-24T13:04:24,O,
011339918,A,,,RESID MINERVE,,,,2019-06-24T13:04:24,O,
011339926,A,,,SCI STE GENEVIEVE,,,,2019-06-24T13:04:24,O,
011339934,A,,,STE COLETTE,,,,2019-06-24T13:04:24,O,
011340007,A,,,CIV LA PETITE RESID,,,,2019-06-24T13:04:24,O,
011340056,A,,,SCI RESIDENCE MONTET OCTROI,,,,2019-06-24T13:04:24,O,
011340064,A,,,SCI RESIDENCE MERCURE,,,,2012-05-05T00:05:49,O,
011340106,A,,,SCI PERSPECTIVES,,,,2019-06-24T13:04:24,O,
011340163,A,,,PLEIADE VANDOEUVRE,,,,2019-06-24T13:04:24,O,
011340197,A,,,RESIDENCE DU PARC,,,,2019-06-24T13:04:24,O,
011340221,A,,,SCI PONT DE PIERRE,,,,2019-06-24T13:04:24,O,
011340296,A,,,COPROP OCTROI ST NICOLAS,,,,2019-06-24T13:04:24,O,
011340346,A,,,COPROP EDELWEISS,,,,2019-06-24T13:04:24,O,
011340379,A,,,COPROP CAP VERT,,,,2018-09-29T12:00:21,O,
011340429,A,,,COPROP.RESIDENCE SAURUPT,,,,2019-06-24T13:04:24,O,
011340452,A,,,COPR R SCHMITT,,,,2019-06-24T13:04:24,O,
011340510,A,,,COPROP CARINA,,,,2019-06-24T13:04:24,O,
011340569,A,,,SYNDICAT COPRO LE CHANCENAY,,,,2019-06-24T13:04:24,O,
011340577,A,,,COPROP IMM R ST MICHEL,,,,2011-11-29T00:11:04,O,
011340619,A,,,DES COPROPRIETAIRES RESID,,,,2019-06-24T13:04:24,O,
011340635,A,,,COPROP 74 R VAUCOULEURS,,,,2011-11-29T00:11:04,O,
011340650,A,,,COPROP 3OBD BAUDRICOURT,,,,2019-06-24T13:04:24,O,
011340676,A,,,SYND COPRO IMMEUBLE IMPERIAL,,,,2019-06-24T13:04:24,O,
011340684,A,,,DES COPR.DU BUILDING JOFFRE,,,,2019-06-24T13:04:24,O,
011340718,A,,,COPROP HORIZON II MIL,,,,2019-06-24T13:04:24,O,
011340742,A,,,COPR THIERY SOLET,,,,2011-11-29T00:11:04,O,
011340783,A,,,COPR CEN COMM ST SEBAST,,,,2019-06-24T13:04:24,O,
011340882,A,,,SYNDIC DE COPROPRIETE,,,,2011-11-29T00:11:04,O,
011340940,A,,,SYND COPROPRIETE PARC DE LIBREMONT,,,,2019-06-24T13:04:24,O,
011340965,A,,,COPROP LES II RESIDENCES,,,,2019-06-24T13:04:24,O,
011341039,A,,,COPRO. RES. CORVEES JOLIES,,,,2019-06-24T13:04:24,O,
011341062,A,,,COPR RES MICHELET,,,,2011-11-29T00:11:04,O,
011341070,A,,,SYNDICAT DES COPROPRIETAIRES,,,,2019-06-24T13:04:24,O,
011341096,A,,,SYNDICALE MONTET EUROPE,,,,2019-06-24T13:04:24,O,
011341104,A,,,COPROPRIETE BYZANCE,,,,2018-09-29T12:00:21,O,
011341179,A,,,COPROP CENTRAL PARK,,,,2019-06-24T13:04:24,O,
011341211,A,,,COPRO RESIDENCE LES SOURCES,,,,2019-06-24T13:04:24,O,
011341278,A,,,COPROP BAT ALSACE LORR,,,,2019-06-24T13:04:24,O,
011341328,A,,,COPROP J D ARC,,,,2019-06-24T13:04:24,O,
011341344,A,,,COPROP RES TRIDENT,,,,2019-06-24T13:04:24,O,
011341385,A,,,COPROP LES CORDELIERS NANCY,,,,2019-06-24T13:04:24,O,
011341401,A,,,COPRO VILLES FRANCE,,,,2019-06-24T13:04:24,O,
011341443,A,,,COPROP 66 R JEANNE D'ARC,,,,2019-06-24T13:04:24,O,
011341468,A,,,COPROP RESIDENCE ANDROMEDE,,,,2019-06-24T13:04:24,O,
011341492,A,,,COPROP LE TRIANGLE,,,,2019-06-24T13:04:24,O,
011341526,A,,,COPROPRIETE JEANNE D'ARC N°286,,,,2019-06-24T13:04:24,O,
011341567,A,,,DES COPROPRIETAIRES,,,,2011-11-29T00:11:04,O,
011341625,A,,,COPROPRIETE RES. LA LORRAINE,,,,2014-06-13T23:02:34,O,
011341633,A,,,COPROP RES PARC ST GUERIN,,,,2019-06-24T13:04:24,O,
011341724,A,,,COPROPRIETE,,,,2018-09-29T12:00:21,O,
011341856,A,,,COPROPRIETAIRES RESIDENCE,,,,2019-06-24T13:04:24,O,
011341930,A,,,SYND COPR EUROPE,,,,2019-06-24T13:04:24,O,
011342060,A,,,COPROP 258 26O R J D'ARC,,,,2019-06-24T13:04:25,O,
011342078,A,,,COPROP. LE NOUVEAU LEOPOLD,,,,2019-06-24T13:04:25,O,
011342227,A,,,COPROP IMMEUBLE LEONARD,,,,2011-11-29T00:11:05,O,
011342359,A,,,EPIS,,,,2011-11-29T00:11:05,O,
011342474,A,,,SYNDICAT DE COPROPRIETAIRES,,,,2011-11-29T00:11:05,O,
011387982,A,,,BARBEY JEAN,,,,2011-11-29T00:11:05,O,
011400868,A,,,COLLIN BERNARD,,,,2018-09-29T12:00:21,O,
011401494,A,,,COPR RES DES PRES,,,,2019-06-24T13:04:25,O,
011401502,A,,,COPROPR.RESID.EUROPE,,,,2019-06-24T13:04:25,O,
011401510,A,,,COPROPRIETE,,,,2016-08-25T10:04:44,O,
011401593,A,,,COPROPRIETE IMM L ETOILE,,,,2019-06-24T13:04:25,O,
011401650,A,,,COPROP REMBL PLAI,,,,2019-06-24T13:04:25,O,
011401676,A,,,COPRO SOUS LA RIVIERE,,,,2019-06-24T13:04:25,O,
011401684,A,,,COPROPRIETE I2 PATTON,,,,2019-06-24T13:04:25,O,
011422912,A,,,IM LXXV AV FRANCE COPROP,,,,2018-09-29T12:00:21,O,
011422938,A,,,IM QUARANTE HUIT A FRANCE,,,,2019-06-24T13:04:25,O,
012372116,A,,,GAY ANDREE,,,,2018-09-29T12:00:21,O,
012448452,A,,,LA SAINTONGE,,,,2018-09-29T12:00:21,O,
012793527,A,,,IMMEUBLE BIR HAKEIM,,,,2019-06-24T13:04:25,O,
012862249,A,,,IMMEUBLE,,,,2019-06-24T13:04:25,O,
012862371,A,,,RESIDENCE DU LYS,,,,2017-05-04T01:02:41,O,
012862397,A,,,RESIDENCE LE HOUX,,,,2019-06-24T13:04:25,O,
012862405,A,,,RESIDENCE VOTRE LOGEMENT,,,,2019-06-24T13:04:25,O,
012862413,A,,,RESIDENCE BEAULIEU,,,,2019-06-24T13:04:25,O,
012862421,A,,,RESIDENCE LE PRINTEMPS,,,,2019-06-24T13:04:25,O,
012862462,A,,,RESIDENCE CLAIREFONTAINE,,,,2019-06-24T13:04:25,O,
012862470,A,,,RESIDENCE TURFAUDIERE,,,,2019-06-24T13:04:25,O,
012862496,A,,,RESIDENCE VALHUBERT,,,,2018-09-29T12:00:21,O,
012862504,A,,,RESIDENCE ST HILAIRE,,,,2019-06-24T13:04:25,O,
012862538,A,,,RESIDENCE CROIX PERRIERES,,,,2019-06-24T13:04:25,O,
012862553,A,,,RESIDENCE LE STADE,,,,2011-11-29T00:11:06,O,
012862579,A,,,RESIDENCE CONSTITUTION,,,,2019-06-24T13:04:25,O,
012862587,A,,,RES DES FLEURS,,,,2018-09-29T12:00:21,O,
012862595,A,,,GENETS 3,,,,2011-11-29T00:11:06,O,
012862603,A,,,GENETS 1,,,,2011-11-29T00:11:07,O,
012862611,A,,,HENNEGRAVE PA SYNDIC,,,,2011-11-29T00:11:07,O,
012862629,A,,,RESIDENCE EDEN,,,,2019-06-24T13:04:25,O,
012862678,A,,,RESIDENCE MONTEBELLO,,,,2018-09-29T12:00:21,O,
012862694,A,,,RESIDENCE NORMANDY,,,,2011-11-29T00:11:07,O,
012862736,A,,,RESIDENCE LA DUCHE,,,,2019-06-24T13:04:25,O,
012862744,A,,,SYND BENEVOLE HAUTS DUCHE,,,,2019-06-24T13:04:25,O,
012862785,A,,,RESIDENCE DUJARDIN,,,,2019-06-24T13:04:25,O,
012862819,A,,,SYND PROPR LE LIAIS,,,,2020-02-04T04:05:23,O,
012862926,A,,,IMMEUBLE ALMA,,,,2019-06-24T13:04:25,O,
012862942,A,,,RESIDENCE PASTEUR,,,,2019-06-24T13:04:25,O,
012862975,A,,,SYND PROPRI RESIDENCE CLOS DU PUITS,,,,2018-09-29T12:00:21,O,
012862983,A,,,SYND PROP RESIDENCE CLOS DU PUITS,,,,2018-09-29T12:00:21,O,
012862991,A,,,RESIDENCE CONSTANCE,,,,2019-06-24T13:04:25,O,
012863114,A,,,RESIDENCE MOLIERE,,,,2011-11-29T00:11:07,O,
012863171,A,,,RESIDENCE LA MONTJOIE BAT B,,,,2019-06-24T13:04:25,O,
012863189,A,,,RESIDENCE DE LA MONTJOIE BAT C,,,,2019-06-24T13:04:25,O,
012863197,A,,,RESIDENCE MONTJOIE BAT A,,,,2019-06-24T13:04:25,O,
012863205,A,,,RESIDENCE SURCOUF,,,,2019-06-24T13:04:25,O,
012863221,A,,,RESIDENCE MURAT,,,,2011-11-29T00:11:07,O,
012863262,A,,,IMMEUBLE BAIONNETTE OUEST,,,,2018-09-29T12:00:21,O,
012863270,A,,,RESIDENCE LES TILLEULS,,,,2017-05-04T01:02:41,O,
012863288,A,,,IMMEUBLE LE ROCHER DE LA LIBERTE,,,,2019-06-24T13:04:25,O,
012863320,A,,,IMMEUBLE JEAN MOULIN,,,,2018-09-29T12:00:21,O,
012863361,A,,,IMMEUBLE RUE DU NEUFBOURG,,,,2018-09-29T12:00:21,O,
012863379,A,,,SYND COPRO RONCHETTES 1,,,,2019-06-24T13:04:25,O,
012863387,A,,,SYND COPRO RONCHETTES 2,,,,2019-06-24T13:04:25,O,
012863395,A,,,IMMEUBLE RONCHETTES 3,,,,2019-06-24T13:04:25,O,
012863403,A,,,IMMEUBLE LES PLATANES,,,,2018-09-29T12:00:21,O,
012863411,A,,,IMMEUBLE ANDRE GROULT,,,,2019-06-24T13:04:25,O,
012863437,A,,,RESIDENCE DU THEATRE,,,,2018-09-29T12:00:21,O,
012863445,A,,,SYND COPR IMMEUBLE RUE DU DOCTEUR LETURC,,,,2018-09-29T12:00:21,O,
012863452,A,,,IMMEUBLE HOTEL DE VILLE,,,,2019-06-24T13:04:25,O,
012863460,A,,,RESIDENCE BEAUX REGARDS,,,,2019-06-24T13:04:25,O,
012863478,A,,,RESIDENCE BELLEVUE,,,,2019-06-24T13:04:25,O,
012863486,A,,,RESIDENCE BEAUX REGARDS,,,,2019-06-24T13:04:25,O,
012863494,A,,,RESIDENCE DES IRIS,,,,2019-06-24T13:04:25,O,
012863502,A,,,IMMEUBLE DE L OMBREE,,,,2019-06-24T13:04:25,O,
012863510,A,,,IMMEUBLE DU NEUFBOURG,,,,2019-06-24T13:04:25,O,
012863528,A,,,IMMEUBLE LETURC,,,,2019-06-24T13:04:25,O,
012863551,A,,,IMMEUBLE MARECHAL LECLERC,,,,2018-09-29T12:00:21,O,
012863569,A,,,IMMEUBLE BELLEVUE,,,,2011-11-29T00:11:08,O,
012863593,A,,,IMMEUBLE BAIONNETTE NORD,,,,2019-06-24T13:04:25,O,
012863601,A,,,RESIDENCE DU PARC,,,,2019-06-24T13:04:25,O,
012863643,A,,,RESIDENCE DE LA SOURCE,,,,2018-09-29T12:00:21,O,
012863668,A,,,RESIDENCE LE VOLTAIRE,,,,2019-06-24T13:04:25,O,
012863684,A,,,RESIDENCE ST QUENTIN,,,,2019-06-24T13:04:25,O,
012863759,A,,,RESIDENCE DU LOUVRE,,,,2018-09-29T12:00:21,O,
012870770,A,,,IMM 40 BIS BD MARCEHAL FOCH,,,,2011-11-29T00:11:08,O,
012870887,A,,,RESIDENCE SAINT MARTIN,,,,2019-06-24T13:04:25,O,
012870895,A,,,RESIDENCE 15 RUE DE MORTAIN,,,,2018-09-29T12:00:21,O,
012870945,A,,,LES LILAS,,,,2019-10-29T18:00:20,O,
012871000,A,,,IMMEUBLE 10 12 RUE DU BOIS,,,,2011-11-29T00:11:08,O,
012871216,A,,,SYND COPRO RESIDENCE ASSELIN,,,,2019-06-24T13:04:25,O,
012871224,A,,,SYND COPRO RESIDENCE LA BUCAILLE,,,,2018-09-29T12:00:21,O,
012871232,A,,,SYND COPRO RESIDENCE BRIAND,,,,2019-06-24T13:04:25,O,
012871240,A,,,RESIDENCE CARNOT,,,,2019-06-24T13:04:25,O,
012871257,A,,,RESIDENCE DE LA POLLE,,,,2019-06-24T13:04:25,O,
012871265,A,,,SYND COPRO RESIDENCE LES LIBELLULES,,,,2019-06-24T13:04:25,O,
012871281,A,,,IMM 53 R GAMBETTA,,,,2018-09-29T12:00:21,O,
012871307,A,,,RESIDENCE CALIGNY,,,,2019-06-24T13:04:25,O,
012871380,A,,,IMMEUBLE THOMAS HENRI,,,,2019-06-24T13:04:25,O,
012871422,A,,,IMMEUBLE FOCH,,,,2018-09-29T12:00:21,O,
012871463,A,,,IMM VAUBAN,,,,2018-09-29T12:00:21,O,
012871489,A,,,IMMEUBLE 7 RUE LOUIS 16,,,,2018-09-29T12:00:21,O,
012871695,A,,,IMMEUBLE LIBERATION,,,,2013-05-18T02:02:31,O,
012871745,A,,,CARAVANNING 2000,,,,2019-06-24T13:04:25,O,
012871810,A,,,IMMEUBLE ENAULT,,,,2019-06-24T13:04:25,O,
012871828,A,,,IMMEUBLE SECRA,,,,2019-06-24T13:04:25,O,
012877080,A,,,SYND COPRO RESIDENCE ERMITAGE 1,,,,2017-05-10T08:33:35,O,
012877098,A,,,SYND COPRO RESIDENCE ERMITAGE 2,,,,2017-05-12T08:48:07,O,
012877148,A,,,RESIDENCE JEAN JAURES,,,,2019-06-24T13:04:25,O,
012877155,A,,,RESIDENCE DU MANAGE,,,,2019-06-24T13:04:25,O,
012877163,A,,,RESIDENCE DES SABLONS 1,,,,2016-04-26T01:03:49,O,
012877171,A,,,RESIDENCE DES SABLONS 2,,,,2016-04-26T01:03:49,O,
012877189,A,,,RESIDENCE DE LA CHASSE VERTE,,,,2019-06-24T13:04:25,O,
012877197,A,,,SYND COPRO RESIDENCE ST NICOLAS,,,,2019-06-24T13:04:25,O,
012877213,A,,,RESIDENCE DU LUDE,,,,2011-11-29T00:11:09,O,
012877221,A,,,RESIDENCE DE LA ROCADE,,,,2018-09-29T12:00:21,O,
012877239,A,,,SYND PROPR RES DES CHEVALLIERS,,,,2011-11-29T00:11:09,O,
012877247,A,,,RESIDENCE DU BELVEDERE,,,,2019-06-24T13:04:25,O,
012877262,A,,,IMMEUBLE 67 RUE COURAYE,,,,2019-06-24T13:04:25,O,
012877296,A,,,RESIDENCE DES MARRONIERS,,,,2016-04-26T01:03:50,O,
012877320,A,,,IMMEUBLE 30 COURS JONVILLE,,,,2011-11-29T00:11:09,O,
012877338,A,,,SYND PROPR RESIDENCE DES COUESNONS,,,,2019-06-24T13:04:25,O,
012877346,A,,,SYND PROPR RESIDENCE DU COMMODORE,,,,2019-06-24T13:04:25,O,
012877361,A,,,IMMEUBLE 20 PL LITTRE,,,,2019-06-24T13:04:25,O,
012889010,A,,,RESIDENCE DU ROC,,,,2019-06-24T13:04:25,O,
012894499,A,,,IMM 12  QUAI ALEXANDRE 3,,,,2018-09-29T12:00:21,O,
012894507,A,,,IMM 5 ET 7 RUE DR CHARCOT,,,,2019-06-24T13:04:25,O,
012895439,A,,,IMM 168 RUE DE LA PAIX,,,,2011-11-29T00:11:09,O,
012896189,A,,,IMMEUBLE PLACE DE LA CROUTE,,,,2019-06-24T13:04:25,O,
